         34439414 function calls (34116394 primitive calls) in 71.518 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10784    0.368    0.000    3.014    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/compiler.py:194(get_select)
     4101    0.014    0.000    2.983    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/base.py:919(_do_insert)
     4342    2.971    0.001    2.971    0.001 {method 'acquire' of '_thread.lock' objects}
      868    0.004    0.000    2.921    0.003 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/threading.py:979(join)
      868    0.005    0.000    2.915    0.003 /usr/local/Cellar/python@3.8/3.8.1/Frameworks/Python.framework/Versions/3.8/lib/python3.8/threading.py:1017(_wait_for_tstate_lock)
     4105    0.045    0.000    2.837    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/query.py:1194(_insert)
      470    0.013    0.000    2.789    0.006 /Users/ediaz/work/src/github.com/lnds/codice/tools/encoding.py:4(detect_encoding)
      470    0.005    0.000    2.745    0.006 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/__init__.py:24(detect)
      470    0.011    0.000    2.678    0.006 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/universaldetector.py:111(feed)
     3872    0.030    0.000    2.562    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/transaction.py:196(__exit__)
12929/11023    0.097    0.000    2.519    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/where.py:65(as_sql)
     4105    0.055    0.000    2.503    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1383(execute_sql)
20058/19781    0.078    0.000    2.288    0.000 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/models/lookups.py:175(as_sql)
     3864    0.022    0.000    2.240    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/base/base.py:262(commit)
     3864    0.020    0.000    2.203    0.001 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/django/db/backends/base/base.py:240(_commit)
     3864    2.180    0.001    2.180    0.001 {method 'commit' of 'psycopg2.extensions.connection' objects}
     8751    2.113    0.000    2.113    0.000 {built-in method posix.read}
      396    0.008    0.000    2.110    0.005 /Users/ediaz/.local/share/virtualenvs/codice-gcGZ2dCA/lib/python3.8/site-packages/chardet/charsetgroupprober.py:65(feed)
